no,date,red1,red2,red3,red4,red5,red6,blue1,count,count_length
6154,20061231,7,14,18,20,30,33,13,25922162,8
7001,20070102,2,4,9,10,20,26,14,21613138,8
7002,20070104,5,6,14,20,21,22,1,18572107,8
7003,20070107,5,9,11,12,22,27,15,2506765,7
7004,20070109,3,7,10,13,25,33,10,5563414,7
7005,20070111,1,5,6,16,24,30,12,9052930,7
7006,20070114,6,10,14,22,26,27,11,371774,6
7007,20070116,4,12,15,17,22,32,14,28524690,8
7008,20070118,1,4,5,18,19,25,10,28732545,8
7009,20070121,2,4,14,15,25,27,15,31712620,8
7010,20070123,3,8,14,17,30,32,5,7032412,7
7011,20070125,3,10,15,25,28,33,16,13369465,8
7012,20070128,3,5,7,21,26,28,4,2882356,7
7013,20070130,5,15,18,27,29,32,5,14986771,8
7014,20070201,1,13,16,20,24,26,9,9099009,7
7015,20070204,3,4,8,18,22,30,15,80750798,8
7016,20070206,1,18,20,22,26,33,5,14905441,8
7017,20070208,5,9,10,24,25,32,14,14367345,8
7018,20070211,1,12,18,20,21,26,11,22796670,8
7019,20070213,4,11,16,23,29,31,14,7928003,7
7020,20070215,5,10,16,20,28,31,14,17490328,8
7021,20070225,3,6,9,11,25,31,13,61640062,8
7022,20070227,2,4,7,10,18,27,10,26139,5
7023,20070301,3,7,13,17,32,33,2,16763145,8
7024,20070304,8,9,17,25,27,32,6,5368255,7
7025,20070306,3,16,18,22,23,26,3,5395828,7
7026,20070308,1,4,14,16,26,29,10,24547965,8
7027,20070311,2,3,9,22,24,27,11,24267198,8
7028,20070313,3,8,13,20,29,30,11,8921710,7
7029,20070315,6,8,9,11,19,21,10,6810663,7
7030,20070318,3,16,21,22,27,30,4,16529763,8
7031,20070320,4,6,10,12,19,31,1,6945588,7
7032,20070322,4,8,16,24,30,32,16,27777670,8
7033,20070325,3,4,11,17,18,28,9,21990298,8
7034,20070327,2,9,12,14,23,25,16,3586858,7
7035,20070329,1,4,8,12,29,31,6,43126913,8
7036,20070401,3,14,21,23,30,31,10,38561160,8
7037,20070403,10,11,16,23,31,33,16,26701237,8
7038,20070405,3,11,14,19,21,30,5,3311601,7
7039,20070408,6,7,19,24,27,29,1,1817553,7
7040,20070410,13,14,15,19,24,30,10,74181491,8
7041,20070412,1,3,9,11,26,31,12,413082,6
7042,20070415,3,13,16,19,32,33,8,6811349,7
7043,20070417,3,8,10,11,14,30,5,9170468,7
7044,20070419,9,13,20,21,24,32,8,1174062,7
7045,20070422,1,12,18,21,28,30,10,8471423,7
7046,20070424,2,6,7,9,19,26,14,51649801,8
7047,20070426,2,4,16,18,23,30,6,14654103,8
7048,20070429,2,11,12,15,17,28,12,1076105,7
7049,20070501,4,14,18,19,31,33,2,33838917,8
7050,20070503,1,5,8,13,18,25,2,4728274,7
7051,20070506,3,14,16,26,27,33,13,8922278,7
7052,20070508,2,3,7,8,26,29,7,5762952,7
7053,20070510,10,13,16,17,18,27,11,17526161,8
7054,20070513,1,3,16,18,23,28,5,2822008,7
7055,20070515,2,6,11,22,28,29,2,1747713,7
7056,20070517,14,17,21,29,31,32,12,21897500,8
7057,20070520,5,11,18,19,20,21,9,6577927,7
7058,20070522,7,8,10,13,25,27,7,17930127,8
7059,20070524,1,3,4,6,7,29,14,821510,6
7060,20070527,1,2,8,16,19,29,5,1565332,7
7061,20070529,1,6,7,11,20,23,5,34426184,8
7062,20070531,8,17,20,29,30,33,9,5900187,7
7063,20070603,10,15,17,24,26,28,12,3348353,7
7064,20070605,2,6,9,16,21,23,16,785443,6
7065,20070607,4,7,19,21,25,31,7,6573820,7
7066,20070610,5,11,16,24,32,33,8,12168273,8
7067,20070612,6,11,13,17,21,23,11,4055199,7
7068,20070614,11,18,19,22,23,28,1,38063124,8
7069,20070617,3,4,11,12,14,32,12,18785002,8
7070,20070619,6,8,15,17,18,30,12,44026823,8
7071,20070621,1,6,14,21,30,31,9,11362308,8
7072,20070624,2,4,8,13,14,33,16,11453612,8
7073,20070626,5,9,11,19,28,31,2,236540,6
7074,20070628,8,13,15,25,27,28,3,4840643,7
7075,20070701,13,16,17,22,30,32,3,84688491,8
7076,20070703,6,12,15,16,20,31,2,1000682,7
7077,20070705,6,8,14,21,28,29,2,3696896,7
7078,20070708,4,6,7,23,25,32,1,4423285,7
7079,20070710,3,4,14,20,21,25,14,18138595,8
7080,20070712,1,8,16,18,19,29,4,17626046,8
7081,20070715,9,14,15,19,24,33,13,56897,5
7082,20070717,5,15,17,18,25,32,15,27243448,8
7083,20070719,11,14,18,20,21,26,5,1283371,7
7084,20070722,6,10,12,14,20,27,10,11452785,8
7085,20070724,2,12,17,19,29,30,12,14048972,8
7086,20070726,5,8,14,22,27,29,16,6255852,7
7087,20070729,1,3,4,5,8,21,9,4462183,7
7088,20070731,2,4,10,28,29,33,6,7537442,7
7089,20070802,3,7,8,15,19,28,3,2612623,7
7090,20070805,5,11,13,27,30,31,2,995423,6
7091,20070807,2,11,17,30,31,32,7,6810688,7
7092,20070809,14,18,22,23,24,33,9,40677637,8
7093,20070812,5,10,13,15,19,29,2,466203,6
7094,20070814,3,5,18,19,24,32,2,15723035,8
7095,20070816,1,6,8,18,29,32,7,3259499,7
7096,20070819,9,10,20,22,30,32,8,14879389,8
7097,20070821,4,8,13,18,26,30,11,18239528,8
7098,20070823,2,3,5,11,19,20,12,17978679,8
7099,20070826,3,4,14,27,31,33,5,148323,6
7100,20070828,8,18,27,29,30,32,6,9029769,7
7101,20070830,15,16,18,21,22,30,14,8259996,7
7102,20070902,4,6,8,18,20,33,11,45244357,8
7103,20070904,7,9,25,27,30,32,1,10166878,8
7104,20070906,2,8,12,14,20,32,4,45768895,8
7105,20070909,2,7,10,17,23,29,14,17756098,8
7106,20070911,12,18,21,24,25,29,8,3620619,7
7107,20070913,2,8,9,18,24,28,10,5774023,7
7108,20070916,3,7,12,13,20,33,2,51254431,8
7109,20070918,1,4,7,8,13,14,4,37528895,8
7110,20070920,2,4,7,15,24,28,3,1254859,7
7111,20070923,2,9,10,12,13,17,11,45462614,8
7112,20070925,7,11,14,16,25,32,11,16179870,8
7113,20070927,4,18,23,25,26,31,10,41174627,8
7114,20070930,5,12,15,24,27,33,5,39770967,8
7115,20071002,1,5,10,16,20,26,2,4870116,7
7116,20071004,3,5,7,11,17,27,13,5567630,7
7117,20071007,3,7,9,10,26,32,1,22202166,8
7118,20071009,4,10,16,18,25,32,15,18776034,8
7119,20071011,3,8,11,13,25,31,12,15312053,8
7120,20071014,6,7,11,12,18,25,1,5178814,7
7121,20071016,3,10,21,22,27,28,6,23413658,8
7122,20071018,4,7,19,24,26,32,9,10127556,8
7123,20071021,1,13,15,23,28,32,2,24922831,8
7124,20071023,3,7,13,16,19,32,16,9302246,7
7125,20071025,3,5,18,20,27,33,1,15411525,8
7126,20071028,9,10,19,23,26,31,9,6840192,7
7127,20071030,6,9,13,16,24,28,11,8317204,7
7128,20071101,9,10,19,21,27,31,5,3025248,7
7129,20071104,5,7,20,21,22,30,8,2514674,7
7130,20071106,3,5,9,11,27,31,4,15290290,8
7131,20071108,3,5,7,16,22,27,5,58556549,8
7132,20071111,1,9,16,21,22,23,5,1205908,7
7133,20071113,3,6,7,11,13,33,10,1887041,7
7134,20071115,1,4,10,13,18,25,15,17477386,8
7135,20071118,1,11,16,26,31,33,16,15837769,8
7136,20071120,1,2,18,21,25,29,14,47279912,8
7137,20071122,3,7,8,18,20,22,3,14192802,8
7138,20071125,2,3,15,17,19,25,16,33909997,8
7139,20071127,6,10,12,14,16,22,6,4807706,7
7140,20071129,1,5,16,21,22,26,11,4156644,7
7141,20071202,2,3,4,6,17,31,8,4931751,7
7142,20071204,11,20,25,26,27,30,8,12333600,8
7143,20071206,1,6,22,23,24,26,4,17107145,8
7144,20071209,8,14,23,25,28,32,16,32696653,8
7145,20071211,8,9,11,12,25,31,11,41814684,8
7146,20071213,4,18,22,24,26,30,9,8989446,7
7147,20071216,3,7,18,24,26,27,4,9365105,7
7148,20071218,3,9,16,17,23,28,7,11798458,8
7149,20071220,1,17,19,22,28,30,3,3300254,7
7150,20071223,3,5,11,13,19,24,5,57184733,8
7151,20071225,1,6,10,11,23,25,2,20660953,8
7152,20071227,11,17,21,29,30,33,8,1362444,7
7153,20071230,1,4,19,20,25,31,15,58512309,8
8001,20080101,2,4,7,9,14,29,3,3099030,7
8002,20080103,3,4,18,22,25,29,9,18859995,8
8003,20080106,6,8,11,13,17,19,12,7549821,7
8004,20080108,4,8,22,23,27,29,8,29276360,8
8005,20080110,3,5,15,22,24,25,15,17161087,8
8006,20080113,1,14,16,18,22,27,14,6825580,7
8007,20080115,1,13,17,22,23,30,11,4094454,7
8008,20080117,2,15,16,23,26,27,7,35128984,8
8009,20080120,9,21,29,30,31,32,16,27135064,8
8010,20080122,3,8,11,17,21,27,9,44534422,8
8011,20080124,2,14,17,21,30,32,3,4571623,7
8012,20080127,3,4,5,16,20,30,13,7644551,7
8013,20080129,2,8,15,16,22,28,10,26932521,8
8014,20080131,3,9,11,17,21,31,14,8989250,7
8015,20080203,6,8,11,16,29,33,3,20892316,8
8016,20080205,3,12,14,21,29,33,13,8435321,7
8017,20080214,2,5,7,17,20,22,2,19198975,8
8018,20080217,2,5,6,23,26,33,13,2570397,7
8019,20080219,2,9,11,17,27,31,5,10022112,8
8020,20080221,3,10,13,15,28,30,3,14625391,8
8021,20080224,9,12,19,20,26,28,15,3407604,7
8022,20080226,12,18,20,24,28,32,5,5032243,7
8023,20080228,8,16,18,25,26,32,2,10737691,8
8024,20080302,11,20,21,26,28,30,13,24484497,8
8025,20080304,8,16,17,18,19,21,14,56025069,8
8026,20080306,5,17,19,27,29,32,3,1032170,7
8027,20080309,15,18,19,23,24,26,13,7895126,7
8028,20080311,1,13,21,26,29,32,10,1743784,7
8029,20080313,1,9,14,22,29,32,12,8281403,7
8030,20080316,6,15,18,19,20,28,11,13934507,8
8031,20080318,3,6,11,15,21,31,13,5601984,7
8032,20080320,5,14,16,21,23,28,13,49411978,8
8033,20080323,12,17,18,30,31,33,4,5304653,7
8034,20080325,3,5,9,11,21,29,9,2316164,7
8035,20080327,7,11,14,17,18,29,16,14575818,8
8036,20080330,2,6,13,18,23,28,16,24281747,8
8037,20080401,1,12,22,24,28,31,6,11976919,8
8038,20080403,3,9,10,11,15,19,13,4369681,7
8039,20080406,1,7,10,13,22,29,1,30497932,8
8040,20080408,6,13,22,25,27,28,9,5480078,7
8041,20080410,8,11,20,22,23,27,4,4169742,7
8042,20080413,3,4,9,11,12,24,1,1084653,7
8043,20080415,3,10,16,22,27,33,14,1929996,7
8044,20080417,5,7,9,20,26,29,9,4804434,7
8045,20080420,1,10,13,21,29,32,4,16388016,8
8046,20080422,15,16,18,24,28,33,15,19553237,8
8047,20080424,9,12,13,14,20,22,10,655520,6
8048,20080427,11,18,21,27,30,32,1,4915078,7
8049,20080429,3,10,12,13,19,25,4,44490656,8
8050,20080501,1,11,19,24,26,27,3,28201657,8
8051,20080504,1,4,8,10,13,33,11,5522448,7
8052,20080506,2,10,17,23,29,31,10,8065005,7
8053,20080508,6,12,19,20,21,27,4,4574101,7
8054,20080511,2,6,16,17,20,25,7,14304250,8
8055,20080513,11,16,19,23,26,31,4,9541103,7
8056,20080515,8,13,22,23,25,30,7,12293980,8
8057,20080518,19,20,21,26,28,30,8,32636284,8
8058,20080520,1,12,21,27,29,31,11,13425483,8
8059,20080522,2,6,15,29,31,32,16,5704612,7
8060,20080525,6,7,8,17,30,32,3,36035134,8
8061,20080527,1,2,5,12,26,31,6,15884270,8
8062,20080529,6,8,13,17,24,27,15,6668591,7
8063,20080601,5,9,11,14,16,17,15,3212183,7
8064,20080603,1,2,7,9,12,18,12,15901541,8
8065,20080605,5,13,15,19,30,31,5,17606252,8
8066,20080608,7,12,21,22,29,30,8,8722326,7
8067,20080610,10,11,15,19,26,33,13,1158918,7
8068,20080612,5,7,17,23,27,29,7,13830650,8
8069,20080615,5,8,17,20,26,30,10,13396327,8
8070,20080617,5,6,12,15,18,33,13,3685319,7
8071,20080619,1,6,21,26,27,28,9,8669518,7
8072,20080622,1,5,10,18,22,30,9,14452454,8
8073,20080624,1,9,13,22,28,33,8,9664865,7
8074,20080626,1,11,15,19,20,24,9,15208972,8
8075,20080629,1,8,14,18,22,30,3,31918937,8
8076,20080701,2,5,7,11,13,18,11,8366052,7
8077,20080703,4,12,22,26,30,33,9,22877324,8
8078,20080706,6,13,16,26,30,33,1,24418514,8
8079,20080708,3,4,5,10,20,32,9,26383468,8
8080,20080710,4,14,22,25,29,32,14,12638509,8
8081,20080713,2,12,13,18,25,31,4,12020054,8
8082,20080715,4,8,10,12,21,26,9,15382332,8
8083,20080717,7,8,9,18,29,32,9,4508003,7
8084,20080720,4,7,13,20,29,30,16,19238245,8
8085,20080722,1,4,12,20,24,29,15,4216334,7
8086,20080724,4,5,10,26,27,30,12,26351914,8
8087,20080727,1,7,26,29,30,31,6,17358219,8
8088,20080729,1,6,8,16,17,23,5,17579609,8
8089,20080731,3,6,11,16,22,27,11,6614645,7
8090,20080803,2,7,14,18,19,24,1,13925970,8
8091,20080805,3,12,14,23,31,32,10,9994362,7
8092,20080807,1,3,18,27,28,30,5,80019554,8
8093,20080810,4,10,12,16,26,28,7,11618174,8
8094,20080812,1,4,15,16,23,28,14,6107172,7
8095,20080814,3,8,14,21,28,29,3,47603215,8
8096,20080817,6,8,12,24,27,31,14,21407571,8
8097,20080819,3,6,8,9,16,17,13,64158133,8
8098,20080821,6,7,10,11,15,30,1,7355891,7
8099,20080824,10,15,16,22,23,24,7,15889183,8
8100,20080826,8,14,17,21,27,28,14,21262355,8
8101,20080828,9,17,21,26,28,30,4,18944352,8
8102,20080831,3,7,12,21,25,32,5,3595285,7
8103,20080902,1,12,16,18,22,33,4,65077958,8
8104,20080904,3,6,8,17,24,31,1,7261600,7
8105,20080907,5,17,19,27,28,32,2,26667313,8
8106,20080909,14,19,25,27,29,30,15,19846029,8
8107,20080911,6,13,18,22,27,32,4,37996632,8
8108,20080914,9,10,15,17,23,30,12,36149957,8
8109,20080916,4,7,9,16,21,28,10,14952621,8
8110,20080918,10,16,22,23,29,31,2,9374183,7
8111,20080921,17,18,21,25,31,32,6,6064010,7
8112,20080923,5,13,14,19,22,23,6,16432960,8
8113,20080925,6,9,10,12,17,22,9,39501668,8
8114,20080928,4,9,20,24,25,31,14,9297716,7
8115,20080930,2,12,13,14,17,18,6,6215409,7
8116,20081002,3,7,21,22,24,29,14,30345320,8
8117,20081005,3,5,7,10,14,33,7,1803940,7
8118,20081007,4,9,16,27,31,33,1,15391770,8
8119,20081009,5,7,9,15,24,29,7,74313111,8
8120,20081012,10,11,22,24,26,33,2,15127654,8
8121,20081014,2,22,23,27,31,32,6,15988097,8
8122,20081016,2,8,11,14,19,26,15,8357514,7
8123,20081019,10,11,15,16,25,29,2,6358347,7
8124,20081021,1,7,10,13,21,22,3,46741111,8
8125,20081023,10,11,12,15,26,29,9,8737399,7
8126,20081026,4,11,12,14,20,30,13,17046167,8
8127,20081028,5,8,19,22,27,30,13,30067531,8
8128,20081030,1,5,19,20,27,33,5,21600786,8
8129,20081102,1,3,18,24,25,32,15,4222060,7
8130,20081104,1,12,18,28,30,32,6,9144653,7
8131,20081106,2,12,15,18,22,32,8,6148634,7
8132,20081109,9,13,16,25,27,33,8,22939541,8
8133,20081111,8,11,16,19,24,26,11,17668784,8
8134,20081113,10,15,19,20,28,32,2,6903816,7
8135,20081116,5,14,15,16,19,21,15,43824977,8
8136,20081118,5,9,10,12,18,28,2,4587520,7
8137,20081120,1,4,24,28,29,33,9,14125153,8
8138,20081123,7,14,19,23,25,32,4,17830699,8
8139,20081125,8,9,19,23,25,26,7,27909730,8
8140,20081127,7,14,16,29,30,31,14,978087,6
8141,20081130,3,13,20,25,29,33,15,14736186,8
8142,20081202,5,6,10,13,17,28,15,25683365,8
8143,20081204,12,17,18,19,26,27,6,28011470,8
8144,20081207,2,5,10,27,29,33,15,16617150,8
8145,20081209,7,13,18,22,26,29,2,921845,6
8146,20081211,7,8,17,19,31,32,10,444863,6
8147,20081214,7,8,14,22,26,33,2,30308818,8
8148,20081216,3,5,9,22,26,28,9,23952143,8
8149,20081218,10,14,22,28,29,33,2,12473296,8
8150,20081221,4,19,22,24,29,32,2,3155486,7
8151,20081223,6,8,10,14,17,19,6,70845726,8
8152,20081225,1,4,6,22,26,30,8,5706249,7
8153,20081228,1,4,18,21,24,30,16,35839405,8
8154,20081230,2,5,7,21,22,26,8,4591664,7
9001,20090101,4,21,23,24,30,31,4,28607506,8
9002,20090104,10,14,17,25,29,33,14,3423456,7
9003,20090106,2,3,6,15,25,30,2,4402569,7
9004,20090108,3,11,13,17,28,31,3,78849883,8
9005,20090111,1,3,8,15,17,21,13,14795857,8
9006,20090113,6,12,18,20,26,33,2,12489953,8
9007,20090115,1,5,12,23,25,26,15,1928961,7
9008,20090118,4,15,16,22,32,33,2,19613067,8
9009,20090120,8,15,21,30,31,33,2,6175707,7
9010,20090122,3,10,17,19,20,24,2,11308701,8
9011,20090201,2,4,13,14,18,23,15,2429532,7
9012,20090203,5,11,14,17,18,28,1,24601166,8
9013,20090205,4,8,9,21,26,27,9,8583732,7
9014,20090208,3,6,9,14,15,18,2,4078918,7
9015,20090210,2,4,6,15,17,32,5,28489145,8
9016,20090212,2,7,13,16,20,33,3,6304302,7
9017,20090215,6,14,15,19,25,26,8,15403639,8
9018,20090217,2,5,6,19,27,30,15,49161521,8
9019,20090219,6,17,19,20,26,27,4,1182425,7
9020,20090222,3,5,7,10,19,23,13,90223907,8
9021,20090224,1,4,5,17,24,27,9,8571503,7
9022,20090226,5,8,9,10,11,18,8,18254323,8
9023,20090301,1,6,7,15,24,30,8,33715423,8
9024,20090303,1,3,17,23,30,33,12,46970417,8
9025,20090305,10,20,22,23,26,33,11,4371489,7
9026,20090308,11,15,17,18,20,30,16,44572326,8
9027,20090310,2,7,11,16,27,32,6,2293408,7
9028,20090312,3,6,12,15,23,26,10,9706610,7
9029,20090315,12,13,15,22,23,29,13,37656852,8
9030,20090317,8,14,24,26,28,32,7,20101182,8
9031,20090319,1,2,3,15,30,33,1,16043798,8
9032,20090322,9,11,12,19,27,32,6,6843502,7
9033,20090324,7,8,13,14,29,30,6,31037400,8
9034,20090326,9,12,18,21,22,26,7,8433523,7
9035,20090329,6,15,21,26,29,31,5,26785957,8
9036,20090331,6,9,18,23,32,33,7,7308189,7
9037,20090402,2,6,15,18,20,31,3,23668816,8
9038,20090405,12,13,15,23,28,32,5,1762002,7
9039,20090407,5,12,14,15,21,27,3,36807993,8
9040,20090409,4,7,10,20,26,30,12,43545820,8
9041,20090412,1,8,23,26,28,33,8,1936980,7
9042,20090414,8,16,22,23,27,30,11,5448085,7
9043,20090416,4,9,10,15,18,26,7,15711698,8
9044,20090419,11,14,16,18,26,30,1,9043745,7
9045,20090421,3,4,6,23,30,32,1,38350426,8
9046,20090423,16,20,21,26,29,30,9,32128322,8
9047,20090426,6,8,11,15,21,22,16,53326825,8
9048,20090428,3,7,11,15,17,31,1,18906764,8
9049,20090430,9,12,14,20,30,31,6,3341080,7
9050,20090503,13,21,24,29,30,32,4,34316359,8
9051,20090505,6,10,13,16,21,23,7,25284802,8
9052,20090507,9,11,15,19,21,30,8,1736380,7
9053,20090510,7,12,18,19,22,28,4,1978115,7
9054,20090512,16,17,23,26,31,32,11,75488848,8
9055,20090514,3,4,18,22,24,29,11,16638243,8
9056,20090517,4,9,10,18,29,32,8,39259696,8
9057,20090519,5,7,10,14,17,25,11,6970396,7
9058,20090521,5,8,10,15,23,26,9,192745,6
9059,20090524,3,7,13,23,27,30,11,52648306,8
9060,20090526,7,13,17,26,32,33,4,28762566,8
9061,20090528,10,11,13,16,19,30,3,1012164,7
9062,20090531,10,19,20,21,23,32,10,594784,6
9063,20090602,2,5,11,26,30,32,16,13949302,8
9064,20090604,1,2,14,23,28,29,15,39335,5
9065,20090607,8,12,20,22,30,33,2,34825719,8
9066,20090609,2,15,19,24,31,32,4,25907052,8
9067,20090611,4,10,16,23,28,30,5,24323102,8
9068,20090614,6,11,18,20,25,30,5,4227379,7
9069,20090616,3,5,12,18,21,23,2,48360985,8
9070,20090618,1,2,9,10,21,31,10,9882482,7
9071,20090621,4,5,23,26,31,32,6,6671319,7
9072,20090623,1,3,12,20,21,29,4,10528406,8
9073,20090625,9,16,17,18,22,27,14,20159673,8
9074,20090628,5,10,16,19,23,28,13,25404108,8
9075,20090630,1,13,15,17,20,30,5,21656381,8
9076,20090702,9,18,19,25,28,31,6,23542664,8
9077,20090705,1,9,14,16,28,32,16,2840954,7
9078,20090707,5,7,12,14,15,20,13,13058336,8
9079,20090709,2,9,16,21,30,31,13,8835800,7
9080,20090712,1,11,13,25,32,33,6,1399438,7
9081,20090714,4,5,6,25,29,30,3,9268684,7
9082,20090716,11,15,18,21,27,29,2,14388795,8
9083,20090719,2,8,12,18,24,28,4,116862004,9
9084,20090721,4,9,11,20,32,33,13,6429346,7
9085,20090723,4,8,12,17,20,30,3,5860196,7
9086,20090726,11,12,13,18,23,32,11,13596805,8
9087,20090728,6,11,13,20,28,32,6,877776,6
9088,20090730,4,7,11,15,16,17,2,2731448,7
9089,20090802,2,3,7,11,19,32,4,1480384,7
9090,20090804,7,9,14,20,23,30,14,4750303,7
9091,20090806,3,8,11,14,25,29,4,18515967,8
9092,20090809,2,6,7,14,18,31,8,5079345,7
9093,20090811,1,11,20,31,32,33,1,2966051,7
9094,20090813,3,16,22,25,26,33,14,40656912,8
9095,20090816,8,9,14,28,31,33,15,9477824,7
9096,20090818,1,26,27,31,32,33,3,19591561,8
9097,20090820,7,13,24,26,28,32,14,51008013,8
9098,20090823,3,14,15,20,23,30,2,876958,6
9099,20090825,8,9,18,20,25,29,9,3072717,7
9100,20090827,2,11,17,27,30,33,11,8553953,7
9101,20090830,1,2,5,10,19,24,14,5381762,7
9102,20090901,3,5,7,8,14,31,10,30822970,8
9103,20090903,6,11,17,20,23,24,9,26595531,8
9104,20090906,20,22,26,29,30,32,16,12999360,8
9105,20090908,2,8,10,16,27,30,15,49332637,8
9106,20090910,1,2,15,18,20,29,4,5034372,7
9107,20090913,7,8,20,23,28,29,5,13141187,8
9108,20090915,4,10,17,28,32,33,2,10228618,8
9109,20090917,5,6,7,14,25,28,1,2388757,7
9110,20090920,4,10,13,15,19,30,14,24103191,8
9111,20090922,2,4,7,14,15,25,15,27087419,8
9112,20090924,6,7,18,24,30,32,9,46931439,8
9113,20090927,4,12,20,25,28,29,16,6383551,7
9114,20090929,3,5,11,12,31,32,11,8815323,7
9115,20091001,2,9,13,15,19,24,3,6944414,7
9116,20091004,5,17,21,25,27,32,14,817689,6
9117,20091006,5,9,15,21,26,31,13,7077081,7
9118,20091008,12,16,25,26,27,31,5,17927706,8
9119,20091011,6,7,10,12,15,21,5,12074482,8
9120,20091013,1,2,8,12,16,30,16,20335056,8
9121,20091015,2,4,6,10,25,30,9,41617723,8
9122,20091018,7,14,16,27,29,32,1,6923213,7
9123,20091020,9,13,20,22,25,28,14,4381061,7
9124,20091022,3,4,22,23,28,30,10,31188270,8
9125,20091025,6,7,8,22,26,27,12,30682784,8
9126,20091027,3,5,6,10,19,23,15,5881616,7
9127,20091029,2,11,12,14,15,16,4,1452652,7
9128,20091101,5,8,15,16,26,32,1,6816498,7
9129,20091103,6,7,16,17,24,25,7,19766398,8
9130,20091105,2,3,7,12,13,30,11,14276087,8
9131,20091108,16,23,25,26,32,33,5,19721352,8
9132,20091110,4,14,15,21,23,30,7,5780276,7
9133,20091112,5,9,13,18,20,32,1,15721760,8
9134,20091115,3,5,12,15,28,33,6,18621541,8
9135,20091117,1,3,14,19,30,33,16,60762484,8
9136,20091119,1,4,14,22,30,33,1,43891580,8
9137,20091122,8,12,14,15,17,21,1,1342589,7
9138,20091124,4,7,14,26,32,33,14,8547569,7
9139,20091126,1,5,15,17,27,29,2,21883113,8
9140,20091129,4,5,11,18,22,33,12,5071549,7
9141,20091201,2,13,21,28,29,31,9,33338922,8
9142,20091203,7,11,15,19,20,24,13,48002994,8
9143,20091206,5,9,11,17,23,28,10,26041884,8
9144,20091208,1,5,10,17,18,29,12,1829118,7
9145,20091210,3,5,11,15,26,33,11,12598573,8
9146,20091213,3,9,16,20,22,33,15,1848982,7
9147,20091215,6,8,10,18,22,32,16,4388450,7
9148,20091217,6,12,15,22,29,32,10,933731,6
9149,20091220,1,3,16,18,22,29,4,1698276,7
9150,20091222,4,6,7,16,19,20,4,3779248,7
9151,20091224,6,8,10,16,25,30,14,17963,5
9152,20091227,3,4,19,21,27,28,5,11414019,8
9153,20091229,6,7,8,20,21,25,10,24751765,8
9154,20091231,1,7,12,14,18,25,16,73589067,8
10001,20100103,7,17,18,27,29,32,13,17099975,8
10002,20100105,3,6,7,23,30,33,13,2910627,7
10003,20100107,14,22,26,27,28,31,4,2646979,7
10004,20100110,1,12,13,16,23,28,7,6034189,7
10005,20100112,3,5,6,8,17,18,14,2665961,7
10006,20100114,3,5,7,13,14,18,5,20878733,8
10007,20100117,14,22,27,28,30,33,14,10341125,8
10008,20100119,5,7,13,15,18,30,14,14375512,8
10009,20100121,1,9,13,21,24,32,6,265941,6
10010,20100124,7,8,12,15,22,26,8,6684828,7
10011,20100126,7,8,14,22,24,30,7,14934987,8
10012,20100128,2,8,13,14,25,33,10,20010737,8
10013,20100131,1,2,3,16,18,23,12,52749165,8
10014,20100202,1,3,7,14,26,28,2,33537021,8
10015,20100204,1,4,16,21,23,28,6,33697012,8
10016,20100207,2,8,10,12,30,33,16,1995612,7
10017,20100209,1,3,6,11,12,23,11,13320909,8
10018,20100211,11,28,29,30,32,33,2,30477727,8
10019,20100221,2,10,22,24,26,27,6,31832142,8
10020,20100223,5,6,14,22,24,26,9,22644620,8
10021,20100225,2,9,16,17,19,25,4,34619120,8
10022,20100228,1,2,18,29,31,32,2,45709518,8
10023,20100302,2,9,11,22,24,27,11,10528056,8
10024,20100304,7,16,26,27,29,31,14,2795184,7
10025,20100307,4,5,7,10,13,25,11,2496247,7
10026,20100309,2,4,5,8,19,22,12,23647519,8
10027,20100311,3,4,15,25,26,30,13,10930161,8
10028,20100314,1,3,6,12,16,32,12,2002005,7
10029,20100316,1,5,14,16,17,22,3,502129,6
10030,20100318,3,6,10,16,25,31,5,3095100,7
10031,20100321,5,7,13,24,25,28,4,2326107,7
10032,20100323,8,18,21,28,29,33,8,50210075,8
10033,20100325,8,10,11,12,25,29,9,11375876,8
10034,20100328,6,11,13,22,25,32,12,2610385,7
10035,20100330,9,10,11,18,19,21,10,13878236,8
10036,20100401,6,13,14,28,29,30,8,11471376,8
10037,20100404,3,16,19,21,24,26,6,32240039,8
10038,20100406,1,6,7,11,13,16,1,11840599,8
10039,20100408,8,17,21,23,25,32,12,6781567,7
10040,20100411,12,19,24,25,30,32,11,13768675,8
10041,20100413,3,5,13,19,25,29,12,1150904,7
10042,20100415,3,6,11,20,31,32,10,143243,6
10043,20100418,4,10,19,22,28,33,4,2959738,7
10044,20100420,3,9,21,23,27,31,5,21074374,8
10045,20100422,2,3,4,13,20,29,1,49540854,8
10046,20100425,11,12,21,23,27,32,5,2893782,7
10047,20100427,3,10,13,20,21,32,15,19073611,8
10048,20100429,1,6,8,10,23,33,2,2841748,7
10049,20100502,1,6,10,26,27,28,2,23510499,8
10050,20100504,7,21,22,26,28,30,11,12148947,8
10051,20100506,4,17,23,27,28,32,3,2067467,7
10052,20100509,1,2,19,23,27,29,10,47363527,8
10053,20100511,3,22,24,27,28,30,14,74857068,8
10054,20100513,1,6,8,12,14,25,6,17504013,8
10055,20100516,2,3,13,19,20,23,8,1719155,7
10056,20100518,1,2,3,8,13,32,7,11983707,8
