日期,科室,就诊量
20060721,骨科,25
20060721,口腔科,28
20060721,皮肤科,12
20060723,内科,2
20060723,外科,6
20060723,儿科,18
20060723,妇产科,21
20060723,骨科,24
20060723,口腔科,25
20060723,皮肤科,8
20060725,内科,4
20060725,外科,6
20060725,儿科,10
20060725,妇产科,24
20060725,骨科,26
20060725,口腔科,31
20060725,皮肤科,6
20060727,内科,4
20060727,外科,5
20060727,儿科,8
20060727,妇产科,9
20060727,骨科,12
20060727,口腔科,30
20060727,皮肤科,5
20060730,内科,3
20060730,外科,11
20060730,儿科,20
20060730,妇产科,24
20060730,骨科,25
20060730,口腔科,26
20060730,皮肤科,1
20060801,内科,1
20060801,外科,13
20060801,儿科,16
20060801,妇产科,18
20060801,骨科,19
20060801,口腔科,22
20060801,皮肤科,1
20060803,内科,2
20060803,外科,11
20060803,儿科,15
20060803,妇产科,20
20060803,骨科,23
20060803,口腔科,29
20060803,皮肤科,11
20060806,内科,7
20060806,外科,8
20060806,儿科,12
20060806,妇产科,21
20060806,骨科,22
20060806,口腔科,24
20060806,皮肤科,7
20060808,内科,2
20060808,外科,8
20060808,儿科,11
20060808,妇产科,16
20060808,骨科,20
20060808,口腔科,21
20060808,皮肤科,14
20060810,内科,2
20060810,外科,12
20060810,儿科,16
20060810,妇产科,18
20060810,骨科,19
20060810,口腔科,23
20060810,皮肤科,5
20060813,内科,15
20060813,外科,16
20060813,儿科,17
20060813,妇产科,18
20060813,骨科,24
20060813,口腔科,33
20060813,皮肤科,13
20060815,内科,1
20060815,外科,3
20060815,儿科,17
20060815,妇产科,20
20060815,骨科,21
20060815,口腔科,29
20060815,皮肤科,16
20060817,内科,1
20060817,外科,5
20060817,儿科,9
20060817,妇产科,13
20060817,骨科,18
20060817,口腔科,33
20060817,皮肤科,14
20060820,内科,11
20060820,外科,14
20060820,儿科,15
20060820,妇产科,20
20060820,骨科,26
20060820,口腔科,27
20060820,皮肤科,12
20060822,内科,6
20060822,外科,7
20060822,儿科,10
20060822,妇产科,11
20060822,骨科,18
20060822,口腔科,23
20060822,皮肤科,16
20060824,内科,9
20060824,外科,12
20060824,儿科,18
20060824,妇产科,23
20060824,骨科,24
20060824,口腔科,27
20060824,皮肤科,5
20060827,内科,1
20060827,外科,11
20060827,儿科,18
20060827,妇产科,26
20060827,骨科,30
20060827,口腔科,32
20060827,皮肤科,3
20060829,内科,9
20060829,外科,12
20060829,儿科,20
20060829,妇产科,26
20060829,骨科,27
20060829,口腔科,28
20060829,皮肤科,16
20060831,内科,1
20060831,外科,4
20060831,儿科,13
20060831,妇产科,19
20060831,骨科,20
20060831,口腔科,24
20060831,皮肤科,11
20060903,内科,12
20060903,外科,14
20060903,儿科,15
20060903,妇产科,25
20060903,骨科,28
20060903,口腔科,31
20060903,皮肤科,6
20060905,内科,3
20060905,外科,7
20060905,儿科,22
20060905,妇产科,27
20060905,骨科,28
20060905,口腔科,31
20060905,皮肤科,11
20060907,内科,5
20060907,外科,12
20060907,儿科,14
20060907,妇产科,15
20060907,骨科,20
20060907,口腔科,31
20060907,皮肤科,1
20060910,内科,2
20060910,外科,12
20060910,儿科,14
20060910,妇产科,19
20060910,骨科,28
20060910,口腔科,33
20060910,皮肤科,10
20060912,内科,1
20060912,外科,6
20060912,儿科,8
20060912,妇产科,13
20060912,骨科,17
20060912,口腔科,30
20060912,皮肤科,7
20060914,内科,2
20060914,外科,6
20060914,儿科,8
20060914,妇产科,20
20060914,骨科,24
20060914,口腔科,30
20060914,皮肤科,9
20060917,内科,1
20060917,外科,5
20060917,儿科,17
20060917,妇产科,18
20060917,骨科,23
20060917,口腔科,26
20060917,皮肤科,13
20060919,内科,9
20060919,外科,12
20060919,儿科,14
20060919,妇产科,18
20060919,骨科,27
20060919,口腔科,33
20060919,皮肤科,13
20060921,内科,1
20060921,外科,8
20060921,儿科,11
20060921,妇产科,16
20060921,骨科,17
20060921,口腔科,22
20060921,皮肤科,15
20060924,内科,4
20060924,外科,9
20060924,儿科,13
20060924,妇产科,15
20060924,骨科,31
20060924,口腔科,33
20060924,皮肤科,11
20060926,内科,5
20060926,外科,14
20060926,儿科,17
20060926,妇产科,18
20060926,骨科,28
20060926,口腔科,33
20060926,皮肤科,2
20060928,内科,8
20060928,外科,10
20060928,儿科,14
20060928,妇产科,20
20060928,骨科,27
20060928,口腔科,29
20060928,皮肤科,16
20061001,内科,1
20061001,外科,10
20061001,儿科,20
20061001,妇产科,26
20061001,骨科,28
20061001,口腔科,29
20061001,皮肤科,15
20061003,内科,5
20061003,外科,16
20061003,儿科,21
20061003,妇产科,22
20061003,骨科,32
20061003,口腔科,33
20061003,皮肤科,9
20061005,内科,6
20061005,外科,14
20061005,儿科,20
20061005,妇产科,22
20061005,骨科,23
20061005,口腔科,26
20061005,皮肤科,9
20061008,内科,1
20061008,外科,3
20061008,儿科,7
20061008,妇产科,8
20061008,骨科,10
20061008,口腔科,30
20061008,皮肤科,5
20061010,内科,1
20061010,外科,2
20061010,儿科,14
20061010,妇产科,20
20061010,骨科,27
20061010,口腔科,30
20061010,皮肤科,2
20061012,内科,6
20061012,外科,8
20061012,儿科,14
20061012,妇产科,15
20061012,骨科,24
20061012,口腔科,33
20061012,皮肤科,9
20061015,内科,3
20061015,外科,4
20061015,儿科,6
20061015,妇产科,27
20061015,骨科,31
20061015,口腔科,33
20061015,皮肤科,6
20061017,内科,4
20061017,外科,5
20061017,儿科,6
20061017,妇产科,8
20061017,骨科,22
20061017,口腔科,24
20061017,皮肤科,3
20061019,内科,2
20061019,外科,3
20061019,儿科,20
20061019,妇产科,25
20061019,骨科,28
20061019,口腔科,32
20061019,皮肤科,6
20061022,内科,12
20061022,外科,13
20061022,儿科,14
20061022,妇产科,18
20061022,骨科,31
20061022,口腔科,32
20061022,皮肤科,13
20061024,内科,15
20061024,外科,19
20061024,儿科,23
20061024,妇产科,30
20061024,骨科,32
20061024,口腔科,33
20061024,皮肤科,6
20061026,内科,2
20061026,外科,8
20061026,儿科,13
20061026,妇产科,16
20061026,骨科,24
20061026,口腔科,33
20061026,皮肤科,9
20061029,内科,3
20061029,外科,4
20061029,儿科,11
20061029,妇产科,17
20061029,骨科,19
20061029,口腔科,30
20061029,皮肤科,1
20061031,内科,4
20061031,外科,15
20061031,儿科,21
20061031,妇产科,30
20061031,骨科,31
20061031,口腔科,33
20061031,皮肤科,5
20061102,内科,9
20061102,外科,14
20061102,儿科,18
20061102,妇产科,22
20061102,骨科,27
20061102,口腔科,29
20061102,皮肤科,12
20061105,内科,1
20061105,外科,12
20061105,儿科,21
20061105,妇产科,22
20061105,骨科,30
20061105,口腔科,32
20061105,皮肤科,2
20061107,内科,3
20061107,外科,4
20061107,儿科,9
20061107,妇产科,22
20061107,骨科,26
20061107,口腔科,33
20061107,皮肤科,1
20061109,内科,6
20061109,外科,14
20061109,儿科,22
20061109,妇产科,26
20061109,骨科,30
20061109,口腔科,33
20061109,皮肤科,1
20061112,内科,4
20061112,外科,6
20061112,儿科,20
20061112,妇产科,25
20061112,骨科,29
20061112,口腔科,31
20061112,皮肤科,3
20061114,内科,10
20061114,外科,13
20061114,儿科,18
20061114,妇产科,26
20061114,骨科,28
20061114,口腔科,30
20061114,皮肤科,12
20061116,内科,4
20061116,外科,19
20061116,儿科,21
20061116,妇产科,22
20061116,骨科,23
20061116,口腔科,31
20061116,皮肤科,4
20061119,内科,11
20061119,外科,15
20061119,儿科,17
20061119,妇产科,21
20061119,骨科,22
20061119,口腔科,24
20061119,皮肤科,5
20061121,内科,10
20061121,外科,14
20061121,儿科,17
20061121,妇产科,21
20061121,骨科,27
20061121,口腔科,31
20061121,皮肤科,9
20061123,内科,4
20061123,外科,9
20061123,儿科,11
20061123,妇产科,17
20061123,骨科,18
20061123,口腔科,26
20061123,皮肤科,8
20061126,内科,7
20061126,外科,8
20061126,儿科,14
20061126,妇产科,21
20061126,骨科,23
20061126,口腔科,25
20061126,皮肤科,5
20061128,内科,1
20061128,外科,8
20061128,儿科,11
20061128,妇产科,18
20061128,骨科,19
20061128,口腔科,23
20061128,皮肤科,5
20061130,内科,16
20061130,外科,18
20061130,儿科,22
20061130,妇产科,23
20061130,骨科,25
20061130,口腔科,31
20061130,皮肤科,11
20061203,内科,10
20061203,外科,16
20061203,儿科,19
20061203,妇产科,22
20061203,骨科,26
20061203,口腔科,27
20061203,皮肤科,16
20061205,内科,1
20061205,外科,15
20061205,儿科,20
20061205,妇产科,29
20061205,骨科,31
20061205,口腔科,32
20061205,皮肤科,8
20061207,内科,4
20061207,外科,10
20061207,儿科,13
20061207,妇产科,16
20061207,骨科,22
20061207,口腔科,29
20061207,皮肤科,6
20061210,内科,2
20061210,外科,7
20061210,儿科,23
20061210,妇产科,26
20061210,骨科,28
20061210,口腔科,31
20061210,皮肤科,7
20061212,内科,3
20061212,外科,9
20061212,儿科,13
20061212,妇产科,23
20061212,骨科,28
20061212,口腔科,30
20061212,皮肤科,5
20061214,内科,1
20061214,外科,4
20061214,儿科,15
20061214,妇产科,17
20061214,骨科,27
20061214,口腔科,31
20061214,皮肤科,1
20061217,内科,4
20061217,外科,8
20061217,儿科,12
20061217,妇产科,13
20061217,骨科,23
20061217,口腔科,29
20061217,皮肤科,1
20061219,内科,2
20061219,外科,3
20061219,儿科,5
20061219,妇产科,11
20061219,骨科,15
20061219,口腔科,32
20061219,皮肤科,15
20061221,内科,8
20061221,外科,9
20061221,儿科,12
20061221,妇产科,18
20061221,骨科,25
20061221,口腔科,27
20061221,皮肤科,12
20061224,内科,1
20061224,外科,3
20061224,儿科,4
20061224,妇产科,6
20061224,骨科,16
20061224,口腔科,22
20061224,皮肤科,8
20061226,内科,1
20061226,外科,14
20061226,儿科,20
20061226,妇产科,25
20061226,骨科,27
20061226,口腔科,31
20061226,皮肤科,15
20061228,内科,1
20061228,外科,7
20061228,儿科,11
20061228,妇产科,20
20061228,骨科,30
20061228,口腔科,33
20061228,皮肤科,10
20061231,内科,7
20061231,外科,14
20061231,儿科,18
20061231,妇产科,20
20061231,骨科,30
20061231,口腔科,33
20061231,皮肤科,13
20070102,内科,2
20070102,外科,4
20070102,儿科,9
20070102,妇产科,10
20070102,骨科,20
20070102,口腔科,26
20070102,皮肤科,14
20070104,内科,5
20070104,外科,6
20070104,儿科,14
20070104,妇产科,20
20070104,骨科,21
20070104,口腔科,22
20070104,皮肤科,1
20070107,内科,5
20070107,外科,9
20070107,儿科,11
20070107,妇产科,12
20070107,骨科,22
20070107,口腔科,27
20070107,皮肤科,15
20070109,内科,3
20070109,外科,7
20070109,儿科,10
20070109,妇产科,13
20070109,骨科,25
20070109,口腔科,33
20070109,皮肤科,10
20070111,内科,1
20070111,外科,5
20070111,儿科,6
20070111,妇产科,16
20070111,骨科,24
20070111,口腔科,30
20070111,皮肤科,12
20070114,内科,6
20070114,外科,10
20070114,儿科,14
20070114,妇产科,22
20070114,骨科,26
20070114,口腔科,27
20070114,皮肤科,11
20070116,内科,4
20070116,外科,12
20070116,儿科,15
20070116,妇产科,17
20070116,骨科,22
20070116,口腔科,32
20070116,皮肤科,14
20070118,内科,1
20070118,外科,4
20070118,儿科,5
20070118,妇产科,18
20070118,骨科,19
20070118,口腔科,25
20070118,皮肤科,10
20070121,内科,2
20070121,外科,4
20070121,儿科,14
20070121,妇产科,15
20070121,骨科,25
20070121,口腔科,27
20070121,皮肤科,15
20070123,内科,3
20070123,外科,8
20070123,儿科,14
20070123,妇产科,17
20070123,骨科,30
20070123,口腔科,32
20070123,皮肤科,5
20070125,内科,3
20070125,外科,10
20070125,儿科,15
20070125,妇产科,25
20070125,骨科,28
20070125,口腔科,33
20070125,皮肤科,16
20070128,内科,3
20070128,外科,5
20070128,儿科,7
20070128,妇产科,21
20070128,骨科,26
20070128,口腔科,28
20070128,皮肤科,4
20070130,内科,5
20070130,外科,15
20070130,儿科,18
20070130,妇产科,27
20070130,骨科,29
20070130,口腔科,32
20070130,皮肤科,5
20070201,内科,1
20070201,外科,13
20070201,儿科,16
20070201,妇产科,20
20070201,骨科,24
20070201,口腔科,26
20070201,皮肤科,9
20070204,内科,3
20070204,外科,4
20070204,儿科,8
20070204,妇产科,18
20070204,骨科,22
20070204,口腔科,30
20070204,皮肤科,15
20070206,内科,1
20070206,外科,18
20070206,儿科,20
20070206,妇产科,22
20070206,骨科,26
20070206,口腔科,33
20070206,皮肤科,5
20070208,内科,5
20070208,外科,9
20070208,儿科,10
20070208,妇产科,24
20070208,骨科,25
20070208,口腔科,32
20070208,皮肤科,14
20070211,内科,1
20070211,外科,12
20070211,儿科,18
20070211,妇产科,20
20070211,骨科,21
20070211,口腔科,26
20070211,皮肤科,11
20070213,内科,4
20070213,外科,11
20070213,儿科,16
20070213,妇产科,23
20070213,骨科,29
20070213,口腔科,31
20070213,皮肤科,14
20070215,内科,5
20070215,外科,10
20070215,儿科,16
20070215,妇产科,20
20070215,骨科,28
20070215,口腔科,31
20070215,皮肤科,14
20070225,内科,3
20070225,外科,6
20070225,儿科,9
20070225,妇产科,11
20070225,骨科,25
20070225,口腔科,31
20070225,皮肤科,13
20070227,内科,2
20070227,外科,4
20070227,儿科,7
20070227,妇产科,10
20070227,骨科,18
20070227,口腔科,27
20070227,皮肤科,10
20070301,内科,3
20070301,外科,7
20070301,儿科,13
20070301,妇产科,17
20070301,骨科,32
20070301,口腔科,33
20070301,皮肤科,2
20070304,内科,8
20070304,外科,9
20070304,儿科,17
20070304,妇产科,25
20070304,骨科,27
20070304,口腔科,32
20070304,皮肤科,6
20070306,内科,3
20070306,外科,16
20070306,儿科,18
20070306,妇产科,22
20070306,骨科,23
20070306,口腔科,26
20070306,皮肤科,3
20070308,内科,1
20070308,外科,4
20070308,儿科,14
20070308,妇产科,16
20070308,骨科,26
20070308,口腔科,29
20070308,皮肤科,10
20070311,内科,2
20070311,外科,3
20070311,儿科,9
20070311,妇产科,22
20070311,骨科,24
20070311,口腔科,27
20070311,皮肤科,11
20070313,内科,3
20070313,外科,8
20070313,儿科,13
20070313,妇产科,20
20070313,骨科,29
20070313,口腔科,30
20070313,皮肤科,11
20070315,内科,6
20070315,外科,8
20070315,儿科,9
20070315,妇产科,11
20070315,骨科,19
20070315,口腔科,21
20070315,皮肤科,10
20070318,内科,3
20070318,外科,16
20070318,儿科,21
20070318,妇产科,22
20070318,骨科,27
20070318,口腔科,30
20070318,皮肤科,4
20070320,内科,4
20070320,外科,6
20070320,儿科,10
20070320,妇产科,12
20070320,骨科,19
20070320,口腔科,31
20070320,皮肤科,1
20070322,内科,4
20070322,外科,8
20070322,儿科,16
20070322,妇产科,24
20070322,骨科,30
20070322,口腔科,32
20070322,皮肤科,16
20070325,内科,3
20070325,外科,4
20070325,儿科,11
20070325,妇产科,17
20070325,骨科,18
20070325,口腔科,28
20070325,皮肤科,9
20070327,内科,2
20070327,外科,9
20070327,儿科,12
20070327,妇产科,14
20070327,骨科,23
20070327,口腔科,25
20070327,皮肤科,16
20070329,内科,1
20070329,外科,4
20070329,儿科,8
20070329,妇产科,12
20070329,骨科,29
20070329,口腔科,31
20070329,皮肤科,6
20070401,内科,3
20070401,外科,14
20070401,儿科,21
20070401,妇产科,23
20070401,骨科,30
20070401,口腔科,31
20070401,皮肤科,10
20070403,内科,10
20070403,外科,11
20070403,儿科,16
20070403,妇产科,23
20070403,骨科,31
20070403,口腔科,33
20070403,皮肤科,16
20070405,内科,3
20070405,外科,11
20070405,儿科,14
20070405,妇产科,19
20070405,骨科,21
20070405,口腔科,30
20070405,皮肤科,5
20070408,内科,6
20070408,外科,7
20070408,儿科,19
20070408,妇产科,24
20070408,骨科,27
20070408,口腔科,29
20070408,皮肤科,1
20070410,内科,13
20070410,外科,14
20070410,儿科,15
20070410,妇产科,19
20070410,骨科,24
20070410,口腔科,30
20070410,皮肤科,10
20070412,内科,1
20070412,外科,3
20070412,儿科,9
20070412,妇产科,11
20070412,骨科,26
20070412,口腔科,31
20070412,皮肤科,12
20070415,内科,3
20070415,外科,13
20070415,儿科,16
20070415,妇产科,19
20070415,骨科,32
20070415,口腔科,33
20070415,皮肤科,8
20070417,内科,3
20070417,外科,8
20070417,儿科,10
20070417,妇产科,11
20070417,骨科,14
20070417,口腔科,30
20070417,皮肤科,5
20070419,内科,9
20070419,外科,13
20070419,儿科,20
20070419,妇产科,21
20070419,骨科,24
20070419,口腔科,32
20070419,皮肤科,8
20070422,内科,1
20070422,外科,12
20070422,儿科,18
20070422,妇产科,21
20070422,骨科,28
20070422,口腔科,30
20070422,皮肤科,10
20070424,内科,2
20070424,外科,6
20070424,儿科,7
20070424,妇产科,9
20070424,骨科,19
20070424,口腔科,26
20070424,皮肤科,14
20070426,内科,2
20070426,外科,4
20070426,儿科,16
20070426,妇产科,18
20070426,骨科,23
20070426,口腔科,30
20070426,皮肤科,6
20070429,内科,2
20070429,外科,11
20070429,儿科,12
20070429,妇产科,15
20070429,骨科,17
20070429,口腔科,28
20070429,皮肤科,12
20070501,内科,4
20070501,外科,14
20070501,儿科,18
20070501,妇产科,19
20070501,骨科,31
20070501,口腔科,33
20070501,皮肤科,2
20070503,内科,1
20070503,外科,5
20070503,儿科,8
20070503,妇产科,13
20070503,骨科,18
20070503,口腔科,25
20070503,皮肤科,2
20070506,内科,3
20070506,外科,14
20070506,儿科,16
20070506,妇产科,26
20070506,骨科,27
20070506,口腔科,33
20070506,皮肤科,13
20070508,内科,2
20070508,外科,3
20070508,儿科,7
20070508,妇产科,8
20070508,骨科,26
20070508,口腔科,29
20070508,皮肤科,7
20070510,内科,10
20070510,外科,13
20070510,儿科,16
20070510,妇产科,17
20070510,骨科,18
20070510,口腔科,27
20070510,皮肤科,11
20070513,内科,1
20070513,外科,3
20070513,儿科,16
20070513,妇产科,18
20070513,骨科,23
20070513,口腔科,28
20070513,皮肤科,5
20070515,内科,2
20070515,外科,6
20070515,儿科,11
20070515,妇产科,22
20070515,骨科,28
20070515,口腔科,29
20070515,皮肤科,2
20070517,内科,14
20070517,外科,17
20070517,儿科,21
20070517,妇产科,29
20070517,骨科,31
20070517,口腔科,32
20070517,皮肤科,12
20070520,内科,5
20070520,外科,11
20070520,儿科,18
20070520,妇产科,19
20070520,骨科,20
20070520,口腔科,21
20070520,皮肤科,9
20070522,内科,7
20070522,外科,8
20070522,儿科,10
20070522,妇产科,13
20070522,骨科,25
20070522,口腔科,27
20070522,皮肤科,7
20070524,内科,1
20070524,外科,3
20070524,儿科,4
20070524,妇产科,6
20070524,骨科,7
20070524,口腔科,29
20070524,皮肤科,14
20070527,内科,1
20070527,外科,2
20070527,儿科,8
20070527,妇产科,16
20070527,骨科,19
20070527,口腔科,29
20070527,皮肤科,5
20070529,内科,1
20070529,外科,6
20070529,儿科,7
20070529,妇产科,11
20070529,骨科,20
20070529,口腔科,23
20070529,皮肤科,5
20070531,内科,8
20070531,外科,17
20070531,儿科,20
20070531,妇产科,29
20070531,骨科,30
20070531,口腔科,33
20070531,皮肤科,9
20070603,内科,10
20070603,外科,15
20070603,儿科,17
20070603,妇产科,24
20070603,骨科,26
20070603,口腔科,28
20070603,皮肤科,12
20070605,内科,2
20070605,外科,6
20070605,儿科,9
20070605,妇产科,16
20070605,骨科,21
20070605,口腔科,23
20070605,皮肤科,16
20070607,内科,4
20070607,外科,7
20070607,儿科,19
20070607,妇产科,21
20070607,骨科,25
20070607,口腔科,31
20070607,皮肤科,7
20070610,内科,5
20070610,外科,11
20070610,儿科,16
20070610,妇产科,24
20070610,骨科,32
20070610,口腔科,33
20070610,皮肤科,8
20070612,内科,6
20070612,外科,11
20070612,儿科,13
20070612,妇产科,17
20070612,骨科,21
20070612,口腔科,23
20070612,皮肤科,11
20070614,内科,11
20070614,外科,18
20070614,儿科,19
20070614,妇产科,22
20070614,骨科,23
20070614,口腔科,28
20070614,皮肤科,1
20070617,内科,3
20070617,外科,4
20070617,儿科,11
20070617,妇产科,12
20070617,骨科,14
20070617,口腔科,32
20070617,皮肤科,12
20070619,内科,6
20070619,外科,8
20070619,儿科,15
20070619,妇产科,17
20070619,骨科,18
20070619,口腔科,30
20070619,皮肤科,12
20070621,内科,1
20070621,外科,6
20070621,儿科,14
20070621,妇产科,21
20070621,骨科,30
20070621,口腔科,31
20070621,皮肤科,9
20070624,内科,2
20070624,外科,4
20070624,儿科,8
20070624,妇产科,13
20070624,骨科,14
20070624,口腔科,33
20070624,皮肤科,16
20070626,内科,5
20070626,外科,9
20070626,儿科,11
20070626,妇产科,19
20070626,骨科,28
20070626,口腔科,31
20070626,皮肤科,2
20070628,内科,8
20070628,外科,13
20070628,儿科,15
20070628,妇产科,25
20070628,骨科,27
20070628,口腔科,28
20070628,皮肤科,3
20070701,内科,13
20070701,外科,16
20070701,儿科,17
20070701,妇产科,22
20070701,骨科,30
20070701,口腔科,32
20070701,皮肤科,3
20070703,内科,6
20070703,外科,12
20070703,儿科,15
20070703,妇产科,16
20070703,骨科,20
20070703,口腔科,31
20070703,皮肤科,2
20070705,内科,6
20070705,外科,8
20070705,儿科,14
20070705,妇产科,21
20070705,骨科,28
20070705,口腔科,29
20070705,皮肤科,2
20070708,内科,4
20070708,外科,6
20070708,儿科,7
20070708,妇产科,23
20070708,骨科,25
20070708,口腔科,32
20070708,皮肤科,1
20070710,内科,3
20070710,外科,4
20070710,儿科,14
20070710,妇产科,20
20070710,骨科,21
20070710,口腔科,25
20070710,皮肤科,14
20070712,内科,1
20070712,外科,8
20070712,儿科,16
20070712,妇产科,18
20070712,骨科,19
20070712,口腔科,29
20070712,皮肤科,4
20070715,内科,9
20070715,外科,14
20070715,儿科,15
20070715,妇产科,19
20070715,骨科,24
20070715,口腔科,33
20070715,皮肤科,13
20070717,内科,5
20070717,外科,15
20070717,儿科,17
20070717,妇产科,18
20070717,骨科,25
20070717,口腔科,32
20070717,皮肤科,15
20070719,内科,11
20070719,外科,14
20070719,儿科,18
20070719,妇产科,20
20070719,骨科,21
20070719,口腔科,26
20070719,皮肤科,5
20070722,内科,6
20070722,外科,10
20070722,儿科,12
20070722,妇产科,14
20070722,骨科,20
20070722,口腔科,27
20070722,皮肤科,10
20070724,内科,2
20070724,外科,12
20070724,儿科,17
20070724,妇产科,19
20070724,骨科,29
20070724,口腔科,30
20070724,皮肤科,12
20070726,内科,5
20070726,外科,8
20070726,儿科,14
20070726,妇产科,22
20070726,骨科,27
20070726,口腔科,29
20070726,皮肤科,16
20070729,内科,1
20070729,外科,3
20070729,儿科,4
20070729,妇产科,5
20070729,骨科,8
20070729,口腔科,21
20070729,皮肤科,9
20070731,内科,2
20070731,外科,4
20070731,儿科,10
20070731,妇产科,28
20070731,骨科,29
20070731,口腔科,33
20070731,皮肤科,6
20070802,内科,3
20070802,外科,7
20070802,儿科,8
20070802,妇产科,15
20070802,骨科,19
20070802,口腔科,28
20070802,皮肤科,3
20070805,内科,5
20070805,外科,11
20070805,儿科,13
20070805,妇产科,27
20070805,骨科,30
20070805,口腔科,31
20070805,皮肤科,2
20070807,内科,2
20070807,外科,11
20070807,儿科,17
20070807,妇产科,30
20070807,骨科,31
20070807,口腔科,32
20070807,皮肤科,7
20070809,内科,14
20070809,外科,18
20070809,儿科,22
20070809,妇产科,23
20070809,骨科,24
20070809,口腔科,33
20070809,皮肤科,9
20070812,内科,5
20070812,外科,10
20070812,儿科,13
20070812,妇产科,15
20070812,骨科,19
20070812,口腔科,29
20070812,皮肤科,2
20070814,内科,3
20070814,外科,5
20070814,儿科,18
20070814,妇产科,19
20070814,骨科,24
20070814,口腔科,32
20070814,皮肤科,2
20070816,内科,1
20070816,外科,6
20070816,儿科,8
20070816,妇产科,18
20070816,骨科,29
20070816,口腔科,32
20070816,皮肤科,7
20070819,内科,9
20070819,外科,10
20070819,儿科,20
20070819,妇产科,22
20070819,骨科,30
20070819,口腔科,32
20070819,皮肤科,8
20070821,内科,4
20070821,外科,8
20070821,儿科,13
20070821,妇产科,18
20070821,骨科,26
20070821,口腔科,30
20070821,皮肤科,11
20070823,内科,2
20070823,外科,3
20070823,儿科,5
20070823,妇产科,11
20070823,骨科,19
20070823,口腔科,20
20070823,皮肤科,12
20070826,内科,3
20070826,外科,4
20070826,儿科,14
20070826,妇产科,27
20070826,骨科,31
20070826,口腔科,33
20070826,皮肤科,5
20070828,内科,8
20070828,外科,18
20070828,儿科,27
20070828,妇产科,29
20070828,骨科,30
20070828,口腔科,32
20070828,皮肤科,6
20070830,内科,15
20070830,外科,16
20070830,儿科,18
20070830,妇产科,21
20070830,骨科,22
20070830,口腔科,30
20070830,皮肤科,14
20070902,内科,4
20070902,外科,6
20070902,儿科,8
20070902,妇产科,18
20070902,骨科,20
20070902,口腔科,33
20070902,皮肤科,11
20070904,内科,7
20070904,外科,9
20070904,儿科,25
20070904,妇产科,27
20070904,骨科,30
20070904,口腔科,32
20070904,皮肤科,1
20070906,内科,2
20070906,外科,8
20070906,儿科,12
20070906,妇产科,14
20070906,骨科,20
20070906,口腔科,32
20070906,皮肤科,4
20070909,内科,2
20070909,外科,7
20070909,儿科,10
20070909,妇产科,17
20070909,骨科,23
20070909,口腔科,29
20070909,皮肤科,14
20070911,内科,12
20070911,外科,18
20070911,儿科,21
20070911,妇产科,24
20070911,骨科,25
20070911,口腔科,29
20070911,皮肤科,8
20070913,内科,2
20070913,外科,8
20070913,儿科,9
20070913,妇产科,18
20070913,骨科,24
20070913,口腔科,28
20070913,皮肤科,10
20070916,内科,3
20070916,外科,7
20070916,儿科,12
20070916,妇产科,13
20070916,骨科,20
20070916,口腔科,33
20070916,皮肤科,2
20070918,内科,1
20070918,外科,4
20070918,儿科,7
20070918,妇产科,8
20070918,骨科,13
20070918,口腔科,14
20070918,皮肤科,4
20070920,内科,2
20070920,外科,4
20070920,儿科,7
20070920,妇产科,15
20070920,骨科,24
20070920,口腔科,28
20070920,皮肤科,3
20070923,内科,2
20070923,外科,9
20070923,儿科,10
20070923,妇产科,12
20070923,骨科,13
20070923,口腔科,17
20070923,皮肤科,11
20070925,内科,7
20070925,外科,11
20070925,儿科,14
20070925,妇产科,16
20070925,骨科,25
20070925,口腔科,32
20070925,皮肤科,11
20070927,内科,4
20070927,外科,18
20070927,儿科,23
20070927,妇产科,25
20070927,骨科,26
20070927,口腔科,31
20070927,皮肤科,10
20070930,内科,5
20070930,外科,12
20070930,儿科,15
20070930,妇产科,24
20070930,骨科,27
20070930,口腔科,33
20070930,皮肤科,5
20071002,内科,1
20071002,外科,5
20071002,儿科,10
20071002,妇产科,16
20071002,骨科,20
20071002,口腔科,26
20071002,皮肤科,2
20071004,内科,3
20071004,外科,5
20071004,儿科,7
20071004,妇产科,11
20071004,骨科,17
20071004,口腔科,27
20071004,皮肤科,13
20071007,内科,3
20071007,外科,7
20071007,儿科,9
20071007,妇产科,10
20071007,骨科,26
20071007,口腔科,32
20071007,皮肤科,1
20071009,内科,4
20071009,外科,10
20071009,儿科,16
20071009,妇产科,18
20071009,骨科,25
20071009,口腔科,32
20071009,皮肤科,15
20071011,内科,3
20071011,外科,8
20071011,儿科,11
20071011,妇产科,13
20071011,骨科,25
20071011,口腔科,31
20071011,皮肤科,12
20071014,内科,6
20071014,外科,7
20071014,儿科,11
20071014,妇产科,12
20071014,骨科,18
20071014,口腔科,25
20071014,皮肤科,1
20071016,内科,3
20071016,外科,10
20071016,儿科,21
20071016,妇产科,22
20071016,骨科,27
20071016,口腔科,28
20071016,皮肤科,6
20071018,内科,4
20071018,外科,7
20071018,儿科,19
20071018,妇产科,24
20071018,骨科,26
20071018,口腔科,32
20071018,皮肤科,9
20071021,内科,1
20071021,外科,13
20071021,儿科,15
20071021,妇产科,23
20071021,骨科,28
20071021,口腔科,32
20071021,皮肤科,2
20071023,内科,3
20071023,外科,7
20071023,儿科,13
20071023,妇产科,16
20071023,骨科,19
20071023,口腔科,32
